Día	Orden	Grupo	Ejercicio	Equipo	Accesorio polea	Peso sugerido	Series	Reps	RIR	Descanso	Progresión	Link MuscleWiki	Regla
MARTES - Pierna A	3	Isquios y glúteo	Peso muerto rumano	Barra	-	40 kg	4	8-10	3	2-3 min	Cuando hagas 10 en las 4 series, sube 5 kg	https://musclewiki.com/exercise/barbell-romanian-deadlift	todas 10 +5 kg
MARTES - Pierna A	4	Glúteo	Hip thrust con barra	Barra + banco + almohadilla	-	40 kg	4	10-12	2	2 min	Cuando hagas 12 en las 4 series, sube 5 kg	https://musclewiki.com/exercise/barbell-hip-thrust	todas 12 +5 kg
MARTES - Pierna A	5	Isquios	Curl femoral con tobillera	Polea baja	Tobillera	5 kg	3	12-15 por pierna	2	90 s	Cuando hagas 15/15/15, sube el disco más chico que acepte tu polea	https://musclewiki.com/exercise/cable-hamstring-curl	todas 15 +? kg
MARTES - Pierna A	6	Cuádriceps	Sentadilla isométrica en pared	Pared	-	Peso corporal	3	30-45 s	-	90 s	Sube 10 s por semana hasta 60 s; luego pasa a una pierna	https://www.muscleandstrength.com/exercises/bodyweight-wall-squat.html	tiempo +10 hasta 60
MARTES - Pierna A	7	Glúteo medio	Abducción de cadera con tobillera	Polea baja	Tobillera	5 kg	3	15-20 por pierna	2	60 s	Cuando hagas 20/20/20, sube el disco más chico que acepte tu polea	https://musclewiki.com/es-es/exercise/cable-standing-hip-abduction	todas 20 +? kg
MARTES - Pierna A	8	Pantorrilla y tobillo	Elevación de talón a un pie	Peso corporal	-	Peso corporal	3	12-15 por pie	2	60 s	Cuando hagas 15/15/15, agrega mancuerna de 20 lb	https://musclewiki.com/exercise/bodyweight-single-leg-calf-raise	implemento 15: Mancuerna de 20 lb = 20 lb
MIÉRCOLES - Jalón	1	Tobillo	Equilibrio en un pie	Peso corporal	-	Peso corporal	2	30 s por pie	-	0	Semanas 1-2 ojos abiertos; semana 3 en adelante ojos cerrados	https://workoutlabs.com/exercise-guide/single-leg-balance/	manual
MIÉRCOLES - Jalón	2	Tobillo	Eversión de tobillo en polea	Polea baja	Tobillera	2.5 kg	2	15 por pie	-	0	Sube el disco más chico que acepte tu polea	https://www.rehabhero.ca/exercise/ankle-eversion-with-band	manual
MIÉRCOLES - Jalón	3	Espalda	Dominadas asistidas con banda	Barra de dominadas + banda negra	-	Banda negra 25-65 lb	4	4-6	2	2-3 min	Cuando hagas 6 en las 4 series, pasa a la banda roja	https://musclewiki.com/exercise/pull-ups	implemento 6: Banda roja
MIÉRCOLES - Jalón	4	Dorsal	Jalón al pecho	Polea alta	Barra larga de jalón	35 kg	3	10-12	2	2 min	Cuando hagas 12/12/12, sube 5 kg (par de 2.5)	https://musclewiki.com/exercise/machine-pulldown	todas 12 +5 kg
MIÉRCOLES - Jalón	5	Espalda media	Remo landmine	Barra en esquina	-	20 kg + barra	3	10-12	2	2 min	Cuando hagas 12/12/12, sube 5 kg	https://musclewiki.com/exercise/barbell-landmine-row	todas 12 +5 kg
MIÉRCOLES - Jalón	6	Deltoide posterior	Face pull con cuerda	Polea a la altura de la cara	Cuerda	12 kg	3	15-20	1	90 s	Cuando hagas 20/20/20, sube 5 kg (par de 2.5)	https://musclewiki.com/exercise/machine-face-pulls	todas 20 +5 kg
MIÉRCOLES - Jalón	7	Trapecio y cuello	Encogimiento de hombros	Barra	-	50 kg	3	12-15	2	90 s	Cuando hagas 15/15/15, sube 5 kg	https://musclewiki.com/exercise/barbell-shrug	todas 15 +5 kg
MIÉRCOLES - Jalón	8	Bíceps	Curl martillo	Mancuernas	-	30 lb cada una	3	10-12	1	90 s	Cuando hagas 12/12/12, sube 5 lb por mancuerna	https://musclewiki.com/exercise/dumbbell-hammer-curl	todas 12 +5 lb
JUEVES - Pierna B	1	Tobillo	Equilibrio en un pie	Peso corporal	-	Peso corporal	2	30 s por pie	-	0	Semanas 1-2 ojos abiertos; semana 3 en adelante ojos cerrados	https://workoutlabs.com/exercise-guide/single-leg-balance/	manual
JUEVES - Pierna B	2	Tobillo	Eversión de tobillo en polea	Polea baja	Tobillera	2.5 kg	2	15 por pie	-	0	Sube el disco más chico que acepte tu polea	https://www.rehabhero.ca/exercise/ankle-eversion-with-band	manual
JUEVES - Pierna B	3	Cuádriceps	Sentadilla a banco, postura ancha	Barra + banco plano + postes J	-	Barra sola 20 kg	4	8-10	3	2-3 min	Dos semanas seguidas con 10 en las 4 series: O subes 5 kg O bajas la altura del banco. Nunca las dos a la vez	https://musclewiki.com/exercise/barbell-pause-box-squat	dos semanas 10: Subí 5 kg = +5 kg | Bajé el banco = Banco más bajo
JUEVES - Pierna B	4	Cuádriceps y glúteo	Step-up lateral al banco	Banco plano	-	Peso corporal	3	12 por pierna	2	90 s	Cuando hagas 12/12/12 sin titubear, agrega mancuernas de 20 lb	https://www.rehabhero.ca/exercise/lateral-step-up	implemento 12: Mancuernas de 20 lb = 20 lb c/u
JUEVES - Pierna B	5	Glúteo e isquios	Pull-through con cuerda	Polea baja	Cuerda	15 kg	4	12-15	2	90 s	Cuando hagas 15 en las 4 series, sube 5 kg (par de 2.5)	https://musclewiki.com/exercise/cable-pull-through	todas 15 +5 kg
JUEVES - Pierna B	6	Pantorrilla y tobillo	Elevación de talón a un pie con mancuerna	Mancuerna	-	20 lb	3	12-15 por pie	2	60 s	Cuando hagas 15/15/15, sube 5 lb	https://musclewiki.com/exercise/dumbbell-single-leg-calf-raise	todas 15 +5 lb
JUEVES - Pierna B	7	Core	Rueda abdominal	Rueda + tatami	-	Peso corporal	3	8-10	2	90 s	Cuando hagas 10/10/10, extiende más el recorrido	https://musclewiki.com/exercise/barbell-roll-outs	implemento 10: Recorrido más largo
JUEVES - Pierna B	8	Core	Elevación de rodillas colgado	Barra de dominadas	-	Peso corporal	3	8-12	2	90 s	Cuando hagas 12/12/12, pasa a piernas rectas	https://musclewiki.com/exercise/hanging-knee-raises	implemento 12: Piernas rectas
VIERNES - Empuje-Jalón B	1	Tobillo	Equilibrio en un pie	Peso corporal	-	Peso corporal	2	30 s por pie	-	0	Semanas 1-2 ojos abiertos; semana 3 en adelante ojos cerrados	https://workoutlabs.com/exercise-guide/single-leg-balance/	manual
VIERNES - Empuje-Jalón B	2	Tobillo	Eversión de tobillo en polea	Polea baja	Tobillera	2.5 kg	2	15 por pie	-	0	Sube el disco más chico que acepte tu polea	https://www.rehabhero.ca/exercise/ankle-eversion-with-band	manual
VIERNES - Empuje-Jalón B	3	Pecho superior	Press inclinado con mancuernas	Mancuernas + banco inclinado	-	30 lb cada una	3	12-15	2	90 s	Cuando hagas 15/15/15, sube 5 lb por mancuerna	https://musclewiki.com/exercise/dumbbell-incline-bench-press	todas 15 +5 lb
VIERNES - Empuje-Jalón B	4	Espalda	Remo a un brazo con mancuerna	Mancuerna + banco	-	40 lb	3	12-15 por brazo	2	90 s	Cuando hagas 15/15/15, sube 5 lb	https://musclewiki.com/exercise/dumbbell-single-arm-row	todas 15 +5 lb
VIERNES - Empuje-Jalón B	5	Hombro lateral	Elevación lateral	Mancuernas	-	12 lb cada una	4	12-15	1	60 s	Cuando hagas 15 en las 4 series, sube 5 lb por mancuerna	https://musclewiki.com/exercise/dumbbell-lateral-raise	todas 15 +5 lb
VIERNES - Empuje-Jalón B	6	Deltoide posterior	Vuelo posterior con mancuernas	Mancuernas	-	15 lb cada una	3	15	1	60 s	Cuando las 3 series salgan limpias, sube 5 lb por mancuerna	https://musclewiki.com/exercise/dumbbell-rear-delt-fly	todas 15 +5 lb
VIERNES - Empuje-Jalón B	7	Tríceps	Extensión de tríceps sobre la cabeza con cuerda	Polea baja	Cuerda	12 kg	3	12-15	1	90 s	Cuando hagas 15/15/15, sube 5 kg (par de 2.5)	https://musclewiki.com/exercise/cable-rope-overhead-tricep-extension	todas 15 +5 kg
VIERNES - Empuje-Jalón B	8	Agarre y postura	Farmer's carry	Mancuernas	-	40 lb cada una	3	40 m	-	90 s	Cuando los 3 recorridos salgan sin soltar, sube 5 lb por mancuerna	https://musclewiki.com/exercise/dumbbell-farmer-walk	todas 40 +5 lb
VIERNES - Empuje-Jalón B	9	Acondicionamiento	Costal de boxeo	Costal	-	Peso corporal	3	2 min	-	60 s	Sube a 4 rondas en la semana 4	SIN LIGA	manual
SÁBADO - Caminata	1	Caminata	Ir por el garrafón de agua	Ninguno	-	-	1	30 min	-	-	Ya lo haces; no cambiar nada	SIN LIGA	manual
DOMINGO - Caminata	1	Caminata	Paseo con los perros	Ninguno	-	-	1	30 min	-	-	Ya lo haces; no cambiar nada	SIN LIGA	manual
